,t,q_1,q_2,q_3,q_4,q_5,q_6,camera_x,camera_y,camera_z,camera_roll,camera_pitch,camera_yaw,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,desired_f_1,desired_f_2,desired_f_3,desired_f_4,desired_f_5,desired_f_6,desired_f_7,desired_f_8
0,0.0,8.58306884765625e-06,0.00015425682067871094,1.570796251296997,0.0001308917999267578,-1.5707952976226807,1.1920928955078125e-06,0.6808194518089294,0.16908100247383118,0.6382140517234802,-3.1409236307315758,0.000142941057518954,1.5708374245447392,149.61725663716814,145.28982300884957,125.56984478935698,121.2350332594235,101.5,145.27631578947367,125.59823399558499,169.33112582781456,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
1,0.05,0.0028831958770751953,0.005686521530151367,1.5390007495880127,0.02510356903076172,-1.5738956928253174,0.02691030502319336,0.6835540533065796,0.17094749212265015,0.6534415483474731,3.1408193429647975,0.0032133513872305494,1.5468029069358284,149.49422632794457,145.47344110854505,125.47926267281106,122.53225806451613,102.5,146.55299539170508,126.55299539170507,169.5,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
2,0.1,0.00561070442199707,0.011914491653442383,1.506256341934204,0.05023980140686035,-1.577033281326294,0.05418825149536133,0.6863461136817932,0.17273223400115967,0.6687345504760742,3.139163569910088,0.006248239305907985,1.522241365082882,149.31051344743275,145.71393643031786,125.41019417475728,123.87135922330097,103.50855745721272,147.9242053789731,127.61557177615572,169.77372262773721,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
3,0.15000000000000002,0.008284807205200195,0.018826007843017578,1.472895860671997,0.07539653778076172,-1.5803301334381104,0.08196210861206055,0.6891825199127197,0.17448891699314117,0.6839072108268738,3.1374412099264672,0.009360650197916744,1.497120232680343,149.28316326530611,145.76785714285714,125.2824427480916,125.20356234096693,104.5,149.2070707070707,128.56313131313132,169.86868686868686,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
4,0.2,0.01052999496459961,0.026371479034423828,1.4390270709991455,0.10059523582458496,-1.583446741104126,0.10979104042053223,0.6920739412307739,0.1759844273328781,0.6989165544509888,3.1357314729034016,0.012216965299074789,1.4715066066632605,149.0,146.0,125.1260053619303,126.3887399463807,105.41361256544502,150.41361256544502,129.38814016172506,170.06738544474393,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
5,0.25,0.012785911560058594,0.0346071720123291,1.4046270847320557,0.1257789134979248,-1.5867903232574463,0.13817214965820312,0.6949909925460815,0.17748592793941498,0.7137275338172913,3.1339662981662872,0.01522485323221386,1.4453427226854056,148.9022346368715,146.10614525139664,124.98614958448753,127.58448753462604,106.24931506849315,151.56438356164384,130.3030303030303,170.11019283746558,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
6,0.30000000000000004,0.014639854431152344,0.04321742057800293,1.3700206279754639,0.15082049369812012,-1.589977502822876,0.16656184196472168,0.697830855846405,0.17873629927635193,0.7283378839492798,3.132075653968139,0.017988405147593187,1.4187608822624862,148.78901734104045,146.1878612716763,124.84302325581395,128.71802325581396,107.17378917378917,152.74643874643874,131.17630057803467,170.22543352601156,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
7,0.35000000000000003,0.016260623931884766,0.052374839782714844,1.335221529006958,0.17567801475524902,-1.5931775569915771,0.19513964653015137,0.7006862163543701,0.17983512580394745,0.7426040768623352,3.1301854039923995,0.02069879364007009,1.3917514246305844,148.58231707317074,146.41768292682926,124.61329305135952,129.71601208459214,108.0,153.79821958456972,132.04819277108433,170.32530120481928,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
8,0.4,0.017966270446777344,0.061810970306396484,1.3004381656646729,0.2001650333404541,-1.5966503620147705,0.2242145538330078,0.7033718824386597,0.18098101019859314,0.7565847635269165,3.127985349127388,0.023556361899249065,1.3643165890859714,148.42679127725856,146.38629283489095,124.5,130.8176100628931,108.73684210526316,154.76780185758514,132.79623824451411,170.52351097178683,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
9,0.45,0.019362211227416992,0.07173514366149902,1.2655651569366455,0.22447490692138672,-1.6000454425811768,0.2532782554626465,0.7060827016830444,0.18192577362060547,0.7701650857925415,3.125845997383044,0.026281038892412983,1.3365787408538132,148.30844155844156,146.53571428571428,124.37942122186494,131.86495176848874,109.6070287539936,155.8594249201278,133.59935897435898,170.53205128205127,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
10,0.5,0.02049422264099121,0.0819096565246582,1.2309401035308838,0.24835991859436035,-1.6034138202667236,0.2824208736419678,0.7087129950523376,0.18269182741641998,0.783305823802948,3.123614063567133,0.028890920923595974,1.3084912461547171,148.11409395973155,146.56375838926175,124.13087248322148,132.84563758389262,110.27242524916943,156.89036544850498,134.33223684210526,170.62828947368422,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
11,0.55,0.02136969566345215,0.09226155281066895,1.1967341899871826,0.2717299461364746,-1.6067407131195068,0.31149816513061523,0.7112532258033752,0.1832832396030426,0.7959492206573486,3.1213091454755375,0.0313765909498453,1.2802053793052064,148.0,146.6982456140351,124.05923344947735,133.85365853658536,111.01369863013699,157.90753424657535,135.08275862068965,170.76896551724138,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
12,0.6000000000000001,0.021976232528686523,0.10279703140258789,1.1629517078399658,0.2946293354034424,-1.6100127696990967,0.3404989242553711,0.7137327194213867,0.1836906373500824,0.8080770373344421,3.1189959272087813,0.033745683357253635,1.2517249553365948,147.76173285198556,146.74368231046932,123.92142857142858,134.72142857142856,111.822695035461,158.77659574468086,135.82269503546098,170.77659574468086,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
13,0.65,0.02258920669555664,0.11352300643920898,1.12984299659729,0.316866397857666,-1.613464117050171,0.3697690963745117,0.7161721587181091,0.18409092724323273,0.81954026222229,3.1166428541685107,0.03624062564855549,1.222975982092934,147.5318352059925,146.72284644194755,123.73234200743494,135.55762081784385,112.49090909090908,159.5818181818182,136.44444444444446,170.76666666666668,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
14,0.7000000000000001,0.023026466369628906,0.12427616119384766,1.0975711345672607,0.33841443061828613,-1.6169102191925049,0.39900660514831543,0.7185396552085876,0.18436649441719055,0.8303548693656921,3.114289831246312,0.03868757790374844,1.194083051837983,147.36121673003802,146.63878326996198,123.5,136.3587786259542,113.09293680297398,160.4907063197026,137.0634328358209,170.69776119402985,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
15,0.75,0.0230255126953125,0.13480377197265625,1.066535234451294,0.3590829372406006,-1.6201088428497314,0.42775750160217285,0.7207919359207153,0.18434205651283264,0.8404738306999207,3.112015305338979,0.040866280532006985,1.1652417027186641,147.22178988326849,146.6887159533074,123.34108527131782,137.24031007751938,113.63878326996198,161.36121673003802,137.68199233716476,170.68199233716476,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
16,0.8,0.022611141204833984,0.1448352336883545,1.0369079113006592,0.37878966331481934,-1.6230685710906982,0.45603251457214355,0.7227908968925476,0.18402941524982452,0.8500062227249146,3.109672819299473,0.042719827706384196,1.1364613787915399,147.0,146.724,123.20481927710843,137.96385542168676,114.35135135135135,162.1003861003861,138.27237354085602,170.67315175097275,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
17,0.8500000000000001,0.022196292877197266,0.15478205680847168,1.0085642337799072,0.3975677490234375,-1.6261417865753174,0.48436689376831055,0.7247801423072815,0.18370620906352997,0.8587419390678406,3.1073868337704234,0.044699622526461466,1.1076244002879834,146.7520325203252,146.60162601626016,123.0,138.79435483870967,114.932,162.812,138.93927125506073,170.74493927125505,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
18,0.9,0.021682262420654297,0.16429734230041504,0.9820048809051514,0.41515159606933594,-1.6292016506195068,0.5124595165252686,0.7266504764556885,0.1833069771528244,0.8666602373123169,3.1051193486916597,0.046658906679580385,1.078932759082198,146.57201646090536,146.69135802469137,122.7469387755102,139.465306122449,115.5,163.5,139.4655870445344,170.67611336032388,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
19,0.9500000000000001,0.021262168884277344,0.1732470989227295,0.9572122097015381,0.43157124519348145,-1.6323797702789307,0.5405642986297607,0.7282983064651489,0.18295755982398987,0.8738934993743896,3.1026831767885388,0.0486433566315364,1.0503162444201173,146.3361344537815,146.58823529411765,122.59832635983264,140.092050209205,116.0204081632653,164.20408163265307,139.97489539748955,170.6276150627615,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
20,1.0,0.020543575286865234,0.18175792694091797,0.9342591762542725,0.4468502998352051,-1.6353461742401123,0.5681278705596924,0.7299274206161499,0.18240220844745636,0.8803163766860962,3.100469276520405,0.05050744484590572,1.0219565546925278,146.03404255319148,146.51489361702127,122.36864406779661,140.8771186440678,116.62083333333334,164.87916666666666,140.53526970954357,170.56846473029046,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
21,1.05,0.019757747650146484,0.18947243690490723,0.9138638973236084,0.4605226516723633,-1.6382768154144287,0.5954017639160156,0.7314215302467346,0.1817912459373474,0.8858189582824707,3.0982880544698275,0.052355419247832526,0.9938234767912048,146.0,146.42672413793105,122.09787234042552,141.39574468085107,117.0672268907563,165.57142857142858,141.00851063829788,170.46382978723403,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
22,1.1,0.018743276596069336,0.19630122184753418,0.8955652713775635,0.4729459285736084,-1.640979528427124,0.6219847202301025,0.7326590418815613,0.18102110922336578,0.8907436728477478,3.0961109517168364,0.053940017135943964,0.9661570798148135,145.85526315789474,146.25,121.98297872340426,142.11489361702127,117.56837606837607,166.0897435897436,141.5938864628821,170.2882096069869,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
23,1.1500000000000001,0.01750349998474121,0.20180249214172363,0.8801519870758057,0.48362159729003906,-1.6434767246246338,0.6479556560516357,0.733505129814148,0.1800888031721115,0.8950063586235046,3.093824715473197,0.05519156718885808,0.9388751613691262,145.60714285714286,146.15625,121.84649122807018,142.6798245614035,118.0,166.74891774891776,142.0,170.25108225108224,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
24,1.2000000000000002,0.01589679718017578,0.20658135414123535,0.867011308670044,0.4929530620574951,-1.6456596851348877,0.6731226444244385,0.7343360185623169,0.1789069026708603,0.8985105752944946,3.091848742948134,0.0562840648599586,0.9120498268054655,145.44594594594594,146.1216216216216,121.67543859649123,143.08333333333334,118.51965065502183,167.21397379912665,142.48458149779736,170.0704845814978,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
25,1.25,0.014493227005004883,0.21065115928649902,0.856072187423706,0.5009415149688721,-1.6479623317718506,0.6981852054595947,0.7350738048553467,0.17785966396331787,0.9013087749481201,3.08983099730619,0.05750791430561838,0.8855344395444807,145.16216216216216,146.01351351351352,121.42477876106194,143.7566371681416,118.97413793103448,167.77586206896552,142.87610619469027,170.0796460176991,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
26,1.3,0.013006210327148438,0.2138383388519287,0.8477373123168945,0.5073721408843994,-1.6501343250274658,0.7226927280426025,0.7357383370399475,0.17675721645355225,0.9033221006393433,3.0879612599127335,0.05870511932320889,0.8595027117073076,145.0,146.0,121.22026431718062,144.16740088105726,119.37280701754386,168.2982456140351,143.30263157894737,169.96929824561403,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
27,1.35,0.011634588241577148,0.21629738807678223,0.8414433002471924,0.5125935077667236,-1.6523091793060303,0.7468781471252441,0.7362947463989258,0.1757315993309021,0.9047545194625854,3.0860947394766085,0.05993333548702451,0.8339121678382752,144.76470588235293,145.77828054298644,121.03508771929825,144.68859649122808,119.84482758620689,168.8448275862069,143.73660714285714,169.79464285714286,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
28,1.4000000000000001,0.00998687744140625,0.2177126407623291,0.8378958702087402,0.5161845684051514,-1.6541693210601807,0.7701423168182373,0.7367375493049622,0.17452113330364227,0.9054630994796753,3.084466300003843,0.06098027487009069,0.808982495901113,144.5767441860465,145.58139534883722,120.77533039647577,145.09691629955947,120.17030567685589,169.22270742358077,144.10176991150442,169.69911504424778,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
29,1.4500000000000002,0.008398771286010742,0.21841692924499512,0.8362472057342529,0.5186529159545898,-1.6559646129608154,0.7929294109344482,0.7370732426643372,0.17335309088230133,0.9056673049926758,3.0828802139745415,0.0620105347514535,0.7845945453513522,144.42990654205607,145.5,120.68468468468468,145.5,120.57522123893806,169.7566371681416,144.5,169.42201834862385,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
30,1.5,0.006575822830200195,0.21799945831298828,0.8370506763458252,0.5196704864501953,-1.657468557357788,0.8148846626281738,0.7371612787246704,0.1720309555530548,0.9053730964660645,3.0813984519210966,0.06275982080519799,0.7608104902728015,144.2398190045249,145.289592760181,120.41777777777777,145.94666666666666,120.93886462882097,170.16157205240174,144.88986784140968,169.26431718061673,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
31,1.55,0.004821062088012695,0.21675801277160645,0.8398752212524414,0.5194656848907471,-1.6589033603668213,0.8362720012664795,0.7370846271514893,0.17075930535793304,0.9045957922935486,3.079925287751599,0.06344208094361468,0.7376653893892214,144.0,145.0,120.16740088105728,146.2202643171806,121.26521739130435,170.5086956521739,145.2907488986784,169.0660792951542,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
32,1.6,0.0031020641326904297,0.21505045890808105,0.8442208766937256,0.518333911895752,-1.6602394580841064,0.8570363521575928,0.7370056509971619,0.16952015459537506,0.9033352136611938,3.078595218397325,0.06416492575964146,0.7151892216055232,143.85135135135135,144.92342342342343,120.0,146.6768558951965,121.72727272727273,170.95670995670994,145.53333333333333,168.98222222222222,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
33,1.6500000000000001,0.0012221336364746094,0.21273255348205566,0.8503363132476807,0.5161340236663818,-1.6613433361053467,0.877082109451294,0.7368969321250916,0.16817791759967804,0.9015597105026245,3.077493863119383,0.06482679057752283,0.6932825867917864,143.59633027522935,144.75688073394497,119.79039301310044,147.0,122.02586206896552,171.22413793103448,145.93449781659388,168.7816593886463,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
34,1.7000000000000002,-0.00037169456481933594,0.21001982688903809,0.857752799987793,0.5131139755249023,-1.6625382900238037,0.8968827724456787,0.7367388010025024,0.1670365035533905,0.8993654847145081,3.0763372132381552,0.06561029683496196,0.6719082991297615,143.5,144.5,119.66375545851528,147.1877729257642,122.23931623931624,171.5,146.1718061674009,168.5374449339207,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
35,1.75,-0.002185821533203125,0.20670104026794434,0.8662807941436768,0.5094318389892578,-1.6634390354156494,0.9158856868743896,0.7363895177841187,0.16575515270233154,0.897003173828125,3.0753148611241965,0.0661185914913346,0.6511170784613236,143.22072072072072,144.25675675675674,119.41777777777777,147.72,122.74358974358974,171.8846153846154,146.52,168.20888888888888,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
36,1.8,-0.003994464874267578,0.2025153636932373,0.8769328594207764,0.5043849945068359,-1.6642062664031982,0.9340946674346924,0.7358514070510864,0.16448497772216797,0.8941121697425842,3.0743468711696575,0.06649698438063396,0.6311253415730708,143.02678571428572,144.09821428571428,119.20434782608696,147.9,122.99163179916317,172.05020920502093,146.83982683982683,168.1125541125541,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
