,t,q_1,q_2,q_3,q_4,q_5,q_6,camera_x,camera_y,camera_z,camera_roll,camera_pitch,camera_yaw,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,desired_f_1,desired_f_2,desired_f_3,desired_f_4,desired_f_5,desired_f_6,desired_f_7,desired_f_8
0,0.0,9.298324584960938e-06,-0.39263248443603516,1.963494062423706,7.200241088867188e-05,-1.5707952976226807,2.384185791015625e-07,0.4463264048099518,0.16906212270259857,0.5921618342399597,-3.141307778251266,0.00012221750102738726,1.5708379755145234,151.4127579737336,65.55722326454034,125.41947565543072,39.58052434456929,99.43609022556392,65.56390977443608,125.41275797373358,91.55722326454034,149.0,145.0,125.0,121.0,101.0,145.0,125.0,169.0
1,0.05,0.0006999969482421875,-0.39841318130493164,1.968750238418579,0.0001761913299560547,-1.5710585117340088,0.00031304359436035156,0.4429796636104584,0.1693466752767563,0.5911595821380615,3.1414370517329413,0.0003872869762307368,1.5712178188808514,151.5,64.41353383458646,125.5,38.37218045112782,99.45676691729324,64.39285714285714,125.44277673545966,90.41275797373358,149.0,145.0,125.0,121.0,101.0,145.0,125.0,169.0
2,0.1,-0.0007262229919433594,-0.39608240127563477,1.9635107517242432,0.01010584831237793,-1.568772554397583,-0.00024819374084472656,0.4438087046146393,0.16893808543682098,0.5926066040992737,-3.1347142128241634,-0.0019058214448295764,1.5703358729631516,151.7406015037594,63.2593984962406,125.7406015037594,37.2593984962406,99.70433145009416,63.314500941619585,125.72452830188679,89.32830188679246,149.0,145.0,125.0,121.0,101.0,145.0,125.0,169.0
3,0.15000000000000002,-0.00011301040649414062,-0.3992650508880615,1.9680230617523193,0.006499052047729492,-1.5696938037872314,0.0003094673156738281,0.44214895367622375,0.16912268102169037,0.5913404822349548,-3.136993160120948,-0.0009784210870737485,1.5704017417654152,151.67424242424244,63.04924242424242,125.56166982922201,36.93358633776091,99.56166982922201,63.06641366223909,125.6245283018868,89.14716981132075,149.0,145.0,125.0,121.0,101.0,145.0,125.0,169.0
4,0.2,0.0004611015319824219,-0.4038088321685791,1.9739429950714111,0.002617359161376953,-1.570662260055542,0.001024484634399414,0.4397429823875427,0.1692865937948227,0.5897473096847534,-3.13951109582712,-4.8262202578718e-06,1.5702682444208982,151.58052434456928,62.58052434456929,125.45353159851301,36.5,99.41947565543072,62.58052434456929,125.5,88.62781954887218,149.0,145.0,125.0,121.0,101.0,145.0,125.0,169.0
5,0.25,0.0018391609191894531,-0.4125173091888428,1.9851810932159424,-0.003863096237182617,-1.572333574295044,0.0025620460510253906,0.43501415848731995,0.1697292923927307,0.586629331111908,3.1397023595205997,0.0016626533522516689,1.5701084176177234,151.5,61.5,125.32089552238806,35.32089552238806,99.08239700374531,61.5,125.35501858736059,87.64498141263941,149.0,145.0,125.0,121.0,101.0,145.0,125.0,169.0
6,0.30000000000000004,0.0012814998626708984,-0.40722179412841797,1.9785749912261963,-0.001184701919555664,-1.5723888874053955,0.0013377666473388672,0.43795812129974365,0.1694677323102951,0.5885058045387268,3.1411020757376895,0.0017140167456518047,1.5707715473838084,151.41308411214953,62.44299065420561,125.26454033771107,36.28330206378987,99.10964083175803,62.41965973534972,125.28464419475655,88.5187265917603,149.0,145.0,125.0,121.0,101.0,145.0,125.0,169.0
7,0.35000000000000003,0.0009853839874267578,-0.4042026996612549,1.974750280380249,0.0005323886871337891,-1.5724799633026123,0.0006515979766845703,0.4396267533302307,0.169320210814476,0.5895892381668091,-3.1411555127896547,0.0018029676684136072,1.5711607175492834,151.29056603773586,62.91698113207547,125.24202626641652,36.75797373358349,99.13721804511279,62.830827067669176,125.25375939849624,89.0,149.0,145.0,125.0,121.0,101.0,145.0,125.0,169.0
8,0.4,0.0006647109985351562,-0.4015481472015381,1.9714348316192627,0.001965761184692383,-1.5726101398468018,6.127357482910156e-05,0.44109615683555603,0.16916286945343018,0.5905201435089111,-3.140383606265511,0.0019333269095258721,1.5714322450664242,151.18406072106262,63.37760910815939,125.19774011299435,37.259887005649716,99.04924242424242,63.32575757575758,125.06641366223909,89.43833017077799,149.0,145.0,125.0,121.0,101.0,145.0,125.0,169.0
9,0.45,0.00047850608825683594,-0.3991868495941162,1.9684975147247314,0.003289461135864258,-1.5727040767669678,-0.0003612041473388672,0.4423820674419403,0.16906918585300446,0.5913316607475281,-3.139634543732493,0.002027104028316801,1.5716707021597747,151.12689393939394,63.73106060606061,125.09297912713473,37.64895635673624,99.06805293005671,63.68998109640832,125.05860113421551,89.71077504725898,149.0,145.0,125.0,121.0,101.0,145.0,125.0,169.0
