,t,q_1,q_2,q_3,q_4,q_5,q_6,camera_x,camera_y,camera_z,camera_roll,camera_pitch,camera_yaw,f_1,f_2,desired_f_1,desired_f_2
0,0.0,9.298324584960938e-06,-0.39263248443603516,1.963494062423706,7.224082946777344e-05,-1.5707952976226807,-2.384185791015625e-07,0.44632619619369507,0.1690625101327896,0.5921626687049866,-3.1413076666281032,0.00012220975734266807,1.5708383127210188,186.06118546845124,56.89866156787763,128.0,128.0
1,0.05,0.0023763179779052734,-0.3940236568450928,1.963186502456665,0.0008625984191894531,-1.5687353610992432,0.0009548664093017578,0.44524040818214417,0.17033864557743073,0.5929052829742432,3.140960550071635,-0.0019345975180498668,1.5722540547736863,186.88145315487571,56.82600382409178,128.0,128.0
2,0.1,-0.04919624328613281,-0.3530430793762207,2.0121052265167236,-0.05148935317993164,-1.6210911273956299,-0.051404714584350586,0.47029855847358704,0.14072754979133606,0.547012448310852,-3.102210170254794,0.04865421259369014,1.5749222802595413,170.83091787439614,52.05636070853462,128.0,128.0
3,0.15000000000000002,-0.05617332458496094,-0.3422846794128418,2.0125133991241455,-0.05753445625305176,-1.626105546951294,-0.05881357192993164,0.4762193262577057,0.13635805249214172,0.5423305034637451,-3.0961989946274615,0.05276627377806627,1.575777798669454,168.81299524564184,52.43581616481775,128.0,128.0
4,0.2,-0.05645179748535156,-0.341341495513916,2.012373208999634,-0.05859231948852539,-1.6261041164398193,-0.060117244720458984,0.4767162501811981,0.136234313249588,0.5421404838562012,-3.0964599456648454,0.052752020375913186,1.5768303374145531,168.9387755102041,52.70800627943485,128.0,128.0
5,0.25,-0.05676627159118652,-0.340407133102417,2.0122482776641846,-0.05961203575134277,-1.6261518001556396,-0.06137967109680176,0.4772672653198242,0.13605163991451263,0.5418959856033325,-3.0966067592111997,0.05276471311331883,1.5777766912095823,168.92488262910797,53.003129890453835,128.0,128.0
6,0.30000000000000004,-0.05709242820739746,-0.33951425552368164,2.0121357440948486,-0.06056690216064453,-1.6262257099151611,-0.06256771087646484,0.4778003990650177,0.1358521580696106,0.5416520833969116,-3.0967137221365495,0.052796684065019854,1.578633818221121,168.94043887147336,53.2460815047022,128.0,128.0
7,0.35000000000000003,-0.05743670463562012,-0.33864593505859375,2.012033700942993,-0.0614774227142334,-1.6263267993927002,-0.0637047290802002,0.4783188998699188,0.13564133644104004,0.5414081811904907,-3.0967905056378706,0.05285606102468159,1.5794240419030747,168.85488958990535,53.47791798107256,128.0,128.0
8,0.4,-0.057770490646362305,-0.33782076835632324,2.0119402408599854,-0.06233334541320801,-1.6264312267303467,-0.06477737426757812,0.4788113832473755,0.13543656468391418,0.5411730408668518,-3.096851359097724,0.05292031817403415,1.5801612280727024,168.8982785602504,53.69327073552426,128.0,128.0
9,0.45,-0.05813097953796387,-0.337007999420166,2.0118567943573,-0.06315755844116211,-1.6265690326690674,-0.06581425666809082,0.479295939207077,0.13521642982959747,0.5409334897994995,-3.096881673469378,0.05301723306538507,1.5808392660006891,168.795631825273,53.88299531981279,128.0,128.0
10,0.5,-0.05847358703613281,-0.33623337745666504,2.01177716255188,-0.06393814086914062,-1.626699686050415,-0.06679916381835938,0.4797573685646057,0.13500657677650452,0.5407038927078247,-3.0969051708299555,0.05310981663194182,1.5814830820939407,168.77258566978193,54.04361370716511,128.0,128.0
11,0.55,-0.0588228702545166,-0.33547329902648926,2.0117037296295166,-0.06469511985778809,-1.626842737197876,-0.06775665283203125,0.480209618806839,0.13479310274124146,0.540475070476532,-3.0969145559142697,0.05321406144039433,1.5820942994489637,168.7231726283048,54.251944012441676,128.0,128.0
12,0.6000000000000001,-0.05917096138000488,-0.33474302291870117,2.011636972427368,-0.06541037559509277,-1.6269943714141846,-0.06866574287414551,0.48064371943473816,0.13458022475242615,0.5402511358261108,-3.096907276196257,0.05332828818479785,1.5826600444567893,168.6964006259781,54.417840375586856,128.0,128.0
13,0.65,-0.0595245361328125,-0.3340284824371338,2.011575937271118,-0.0661005973815918,-1.6271569728851318,-0.06954598426818848,0.4810674786567688,0.13436439633369446,0.5400282144546509,-3.096885535834188,0.053453877056032655,1.583192117166317,168.7,54.59375,128.0,128.0
14,0.7000000000000001,-0.05989360809326172,-0.3333253860473633,2.011521100997925,-0.06676626205444336,-1.6273400783538818,-0.07039785385131836,0.4814845621585846,0.1341393142938614,0.5398029685020447,-3.0968433730635403,0.05359927764599802,1.5836827245014227,168.58320373250388,54.80870917573873,128.0,128.0
15,0.75,-0.06023907661437988,-0.33266496658325195,2.0114705562591553,-0.06738519668579102,-1.627511739730835,-0.07119464874267578,0.48187530040740967,0.1339283585548401,0.5395904779434204,-3.0967970168859615,0.05373544161263614,1.584141481102961,168.52106084243368,54.950078003120126,128.0,128.0
16,0.8,-0.060578346252441406,-0.33202052116394043,2.0114219188690186,-0.06798434257507324,-1.6276829242706299,-0.07196784019470215,0.48225557804107666,0.13372083008289337,0.5393821597099304,-3.0967460506093527,0.05387135987450337,1.584583604172469,168.47900466562987,55.00622083981337,128.0,128.0
17,0.8500000000000001,-0.06091666221618652,-0.3313741683959961,2.0113728046417236,-0.06858658790588379,-1.6278517246246338,-0.07274532318115234,0.48263734579086304,0.13351397216320038,0.5391731858253479,-3.0966967359358346,0.05400536262930311,1.585030250481107,168.47893915756632,55.049921996879874,128.0,128.0
