,t,q_1,q_2,q_3,q_4,q_5,q_6,camera_x,camera_y,camera_z,camera_roll,camera_pitch,camera_yaw,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,desired_f_1,desired_f_2,desired_f_3,desired_f_4,desired_f_5,desired_f_6,desired_f_7,desired_f_8
0,0.0,8.58306884765625e-06,0.00015425682067871094,1.570796251296997,0.0001308917999267578,-1.5707952976226807,1.1920928955078125e-06,0.6808194518089294,0.16908100247383118,0.6382140517234802,-3.1409236307315758,0.000142941057518954,1.5708374245447392,149.61725663716814,145.28982300884957,125.56984478935698,121.2350332594235,101.5,145.27631578947367,125.59823399558499,169.33112582781456,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
1,0.05,0.0019297599792480469,0.003885984420776367,1.54945969581604,0.016824722290039062,-1.5728623867034912,0.017940759658813477,0.682716429233551,0.17032656073570251,0.648418128490448,3.141274024544843,0.0021992640208138383,1.5548193848070821,149.51818181818183,145.45,125.48519362186788,122.14578587699317,102.15437788018433,146.1267281105991,126.28473804100227,169.49202733485194,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
2,0.1,0.0038008689880371094,0.007851362228393555,1.5278427600860596,0.03353261947631836,-1.5749566555023193,0.036054134368896484,0.6845894455909729,0.17154601216316223,0.6586232781410217,3.1401965209552642,0.0042499076223498616,1.5385729695936006,149.44626168224298,145.55373831775702,125.30188679245283,123.0,102.87822014051523,147.04918032786884,126.93364928909952,169.73222748815166,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
3,0.15000000000000002,0.005704164505004883,0.012139320373535156,1.5059568881988525,0.0502324104309082,-1.5771725177764893,0.05443572998046875,0.686489999294281,0.17278724908828735,0.6687540411949158,3.1391047807901327,0.006388599042813905,1.5220855887108562,149.32682926829267,145.73658536585367,125.39467312348668,123.94915254237289,103.48655256723717,147.9755501222494,127.55365853658536,169.82926829268294,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
4,0.2,0.007439374923706055,0.016811609268188477,1.4836838245391846,0.06707286834716797,-1.5793249607086182,0.07289361953735352,0.6884647011756897,0.17392857372760773,0.6788444519042969,3.1380789652597176,0.008434124650067282,1.5053502844023245,149.32493702770782,145.83123425692696,125.27959697732997,124.75062972292191,104.17955112219451,148.785536159601,128.24,169.8325,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
5,0.25,0.009048700332641602,0.021669626235961914,1.4612467288970947,0.08386969566345215,-1.581451654434204,0.09144353866577148,0.6904008984565735,0.17499332129955292,0.6888968348503113,3.136954968221395,0.010414630038109421,1.4883928707012624,149.2098445595855,145.9455958549223,125.24093264248705,125.57772020725389,104.6426735218509,149.60668380462724,128.78092783505156,170.0,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
6,0.30000000000000004,0.010503768920898438,0.026843786239624023,1.4385063648223877,0.10074615478515625,-1.5835249423980713,0.1100168228149414,0.6923723816871643,0.17596489191055298,0.6988953351974487,3.1358548419044134,0.012312793959930261,1.4712546601353529,149.0,146.0,125.06738544474393,126.38814016172506,105.36649214659685,150.5,129.40106951871658,170.1524064171123,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
7,0.35000000000000003,0.012023210525512695,0.03238177299499512,1.415583848953247,0.11754822731018066,-1.5857651233673096,0.12892365455627441,0.694382905960083,0.1769755482673645,0.7087357640266418,3.1347641462905464,0.01435076220009105,1.4538441646424904,148.94765840220387,146.13223140495867,124.98076923076923,127.18131868131869,105.98092643051771,151.26975476839237,130.02191780821917,170.2082191780822,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
8,0.4,0.013431549072265625,0.03808999061584473,1.3925468921661377,0.13428759574890137,-1.5879933834075928,0.1479177474975586,0.6963506937026978,0.17791737616062164,0.7185018062591553,3.133586523608053,0.016337687077027114,1.436231918921648,148.88983050847457,146.2316384180791,124.91501416430594,128.0,106.58448753462604,152.01385041551248,130.6402266288952,170.1444759206799,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
9,0.45,0.014628887176513672,0.0438997745513916,1.369471788406372,0.15092945098876953,-1.5901262760162354,0.16690397262573242,0.6982554793357849,0.1787252426147461,0.7281894683837891,3.132313059340707,0.01818331050042768,1.418411485159479,148.7406340057637,146.2593659942363,124.82369942196532,128.77456647398844,107.09770114942529,152.83620689655172,131.17816091954023,170.35919540229884,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
10,0.5,0.015738248825073242,0.05005288124084473,1.3462374210357666,0.1675422191619873,-1.5922791957855225,0.18596529960632324,0.7002214193344116,0.17947696149349213,0.7376964092254639,3.1311161567561996,0.02003280105975991,1.4004263580483716,148.51351351351352,146.47147147147146,124.61904761904762,129.5,107.61904761904762,153.5,131.69139465875372,170.47774480712167,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
11,0.55,0.016942977905273438,0.056322574615478516,1.3229830265045166,0.18400025367736816,-1.5946037769317627,0.2053370475769043,0.7020949721336365,0.18028627336025238,0.7471001744270325,3.129745086606905,0.021996687182035797,1.3822200467865087,148.5,146.5,124.58841463414635,130.2469512195122,108.25835866261399,154.25835866261397,132.390243902439,170.5,125.0,121.0,101.0,145.0,125.0,169.0,149.0,145.0
