,t,q_1,q_2,q_3,q_4,q_5,q_6,camera_x,camera_y,camera_z,camera_roll,camera_pitch,camera_yaw,f_1,f_2,f_3,f_4,f_5,f_6,desired_f_1,desired_f_2,desired_f_3,desired_f_4,desired_f_5,desired_f_6
0,0.0,9.298324584960938e-06,-0.39263248443603516,1.963494062423706,7.224082946777344e-05,-1.5707952976226807,-2.384185791015625e-07,0.44632619619369507,0.1690625101327896,0.5921626687049866,-3.1413076666281032,0.00012220975734266807,1.5708383127210188,212.0,82.81939163498099,186.06118546845124,56.89866156787763,160.08365019011407,82.79657794676807,153.5,144.5,125.5,116.5,99.5,144.5
1,0.05,0.00041556358337402344,-0.38979482650756836,1.9646084308624268,-0.0003345012664794922,-1.5699450969696045,-0.0007717609405517578,0.44751304388046265,0.16932594776153564,0.5901685357093811,-3.1377478638080296,-0.0007276127724340306,1.5720129241388827,212.62781954887217,82.5,186.61380597014926,56.38619402985075,160.5,82.44029850746269,153.5,144.5,125.5,116.5,99.5,144.5
2,0.1,-0.0008962154388427734,-0.38982534408569336,1.9639050960540771,-0.0015711784362792969,-1.571091890335083,-0.0021779537200927734,0.44791269302368164,0.16860736906528473,0.5908015966415405,-3.1397241520803254,0.00041250402968650267,1.5721094661144313,212.06805293005672,83.18336483931947,186.1344696969697,57.04356060606061,159.9296577946768,83.07794676806084,153.5,144.5,125.5,116.5,99.5,144.5
3,0.15000000000000002,-0.0014979839324951172,-0.389862060546875,1.9636437892913818,-0.0019567012786865234,-1.5716488361358643,-0.0026445388793945312,0.44805440306663513,0.16827602684497833,0.5910437107086182,-3.140412803439236,0.0009690256874008735,1.571975208696996,211.7245283018868,83.32830188679246,185.7406015037594,57.2593984962406,159.70943396226414,83.29056603773584,153.5,144.5,125.5,116.5,99.5,144.5
4,0.2,-0.002062559127807617,-0.3897824287414551,1.9633934497833252,-0.0024285316467285156,-1.5721409320831299,-0.003217935562133789,0.4482569694519043,0.16796888411045074,0.5912308692932129,-3.141054015940741,0.0014640209271729076,1.5719841661438747,211.5,83.54681647940075,185.5,57.5,159.5,83.5,153.5,144.5,125.5,116.5,99.5,144.5
5,0.25,-0.002595186233520508,-0.3896756172180176,1.9631693363189697,-0.0028738975524902344,-1.572601556777954,-0.003765106201171875,0.44846194982528687,0.16767850518226624,0.5913844108581543,3.141572118992086,0.0019262722027314702,1.5719979042699588,211.29056603773586,83.70943396226416,185.3119092627599,57.69754253308128,159.3289224952741,83.65217391304348,153.5,144.5,125.5,116.5,99.5,144.5
6,0.30000000000000004,-0.003134489059448242,-0.38950371742248535,1.9629709720611572,-0.003331422805786133,-1.5730574131011963,-0.004332304000854492,0.44869673252105713,0.1673852950334549,0.5914930105209351,3.1410918548362345,0.002384809772904017,1.5720245373007995,211.02303262955854,83.9193857965451,185.10476190476192,57.89523809523809,159.1254752851711,83.79087452471482,153.5,144.5,125.5,116.5,99.5,144.5
7,0.35000000000000003,-0.0037147998809814453,-0.38927507400512695,1.9628026485443115,-0.003783702850341797,-1.573547601699829,-0.004899024963378906,0.44896066188812256,0.16706974804401398,0.5915555953979492,3.1407040292176913,0.002876821520383228,1.5720096257345302,210.7267552182163,84.20303605313093,184.81214421252372,58.18785578747628,158.78095238095239,84.10285714285715,153.5,144.5,125.5,116.5,99.5,144.5
8,0.4,-0.004207134246826172,-0.38902878761291504,1.9626686573028564,-0.004185199737548828,-1.5739548206329346,-0.005411624908447266,0.44920915365219116,0.16680240631103516,0.5915803909301758,3.1404197242233876,0.003285828396166233,1.5720284792959536,210.59013282732448,84.3111954459203,184.66223908918406,58.30360531309298,158.69128787878788,84.24621212121212,153.5,144.5,125.5,116.5,99.5,144.5
9,0.45,-0.004679203033447266,-0.3887968063354492,1.9625236988067627,-0.004595518112182617,-1.5743420124053955,-0.005932331085205078,0.44944998621940613,0.16654612123966217,0.5916210412979126,3.140099814665801,0.003676164375968077,1.572075958819882,210.38490566037737,84.5,184.5,58.5,158.5,84.38490566037736,153.5,144.5,125.5,116.5,99.5,144.5
