,t,q_1,q_2,q_3,q_4,q_5,q_6,camera_x,camera_y,camera_z,camera_roll,camera_pitch,camera_yaw,f_1,f_2,f_3,f_4,f_5,f_6,desired_f_1,desired_f_2,desired_f_3,desired_f_4,desired_f_5,desired_f_6
0,0.0,8.821487426757812e-06,0.00015425682067871094,1.5707957744598389,0.0001304149627685547,-1.5707952976226807,7.152557373046875e-07,0.680819034576416,0.16908136010169983,0.6382145881652832,-3.1409235490667897,0.00014262589818666297,1.5708377616351568,205.71618625277162,161.3569844789357,181.67405764966742,137.32594235033258,157.62334801762114,161.33920704845815,149.5,167.5,126.5,143.5,100.5,167.5
1,0.05,6.699562072753906e-05,0.0011992454528808594,1.570993185043335,-8.58306884765625e-06,-1.5719807147979736,-0.0011746883392333984,0.6813456416130066,0.16899146139621735,0.6373796463012695,-3.139809471133782,0.0013273122306797266,1.5720738086399233,205.5253863134658,161.40397350993376,181.5,137.27631578947367,157.37665198237886,161.33920704845815,149.5,167.5,126.5,143.5,100.5,167.5
2,0.1,0.00010704994201660156,0.00225830078125,1.5710933208465576,-6.532669067382812e-05,-1.5731408596038818,-0.0023398399353027344,0.6818826198577881,0.16889148950576782,0.6365951299667358,-3.1386968381347224,0.00248357025022413,1.5732831394341689,205.24503311258277,161.4459161147903,181.30752212389382,137.34513274336283,157.12334801762114,161.38325991189427,149.5,167.5,126.5,143.5,100.5,167.5
3,0.15000000000000002,0.00013494491577148438,0.003260374069213867,1.5712368488311768,-0.00016498565673828125,-1.5742909908294678,-0.0034627914428710938,0.6823870539665222,0.16878408193588257,0.6358290314674377,-3.1376438606656225,0.0036272376056080634,1.5744409533324661,205.0,161.5,181.06153846153848,137.378021978022,156.77802197802197,161.37582417582416,149.5,167.5,126.5,143.5,100.5,167.5
4,0.2,0.00019812583923339844,0.004235029220581055,1.5713965892791748,-0.00029969215393066406,-1.575474500656128,-0.0044841766357421875,0.6828723549842834,0.16869817674160004,0.6350741982460022,-3.1366346285327427,0.004801628506684314,1.5755348738923793,204.75496688741723,161.5540838852097,180.77802197802197,137.37582417582416,156.56263736263736,161.36703296703297,149.5,167.5,126.5,143.5,100.5,167.5
5,0.25,0.00026702880859375,0.00527644157409668,1.5715186595916748,-0.00040602684020996094,-1.5766589641571045,-0.005532741546630859,0.6833911538124084,0.16861633956432343,0.6342957019805908,-3.135565478218677,0.005975499672723035,1.576664439450105,204.4581497797357,161.61674008810573,180.58771929824562,137.375,156.3186813186813,161.39340659340658,149.5,167.5,126.5,143.5,100.5,167.5
6,0.30000000000000004,0.00028705596923828125,0.006304025650024414,1.5715858936309814,-0.0004591941833496094,-1.5777919292449951,-0.0065937042236328125,0.6839104890823364,0.1685056835412979,0.6335574388504028,-3.134509861069613,0.007094726761435051,1.5777591265690225,204.24229074889868,161.6409691629956,180.35824175824175,137.35824175824175,156.0,161.45414847161572,149.5,167.5,126.5,143.5,100.5,167.5
7,0.35000000000000003,0.00030231475830078125,0.007310390472412109,1.5715749263763428,-0.00044608116149902344,-1.5789062976837158,-0.007639646530151367,0.6844201683998108,0.16839398443698883,0.6328800320625305,-3.133485084136253,0.008193972637155227,1.5788362335318553,203.97350993377484,161.67770419426049,180.11816192560175,137.47702407002188,155.6688596491228,161.41666666666666,149.5,167.5,126.5,143.5,100.5,167.5
8,0.4,0.00038623809814453125,0.008243083953857422,1.5717289447784424,-0.0006089210510253906,-1.5801002979278564,-0.008511781692504883,0.684880793094635,0.1683230996131897,0.6321593523025513,-3.132543495270409,0.009372504147724444,1.579810814597343,203.66153846153847,161.76043956043955,179.859649122807,137.46271929824562,155.39387308533918,161.39387308533918,149.5,167.5,126.5,143.5,100.5,167.5
9,0.45,0.0004475116729736328,0.00921010971069336,1.5718247890472412,-0.0007238388061523438,-1.581268072128296,-0.009383916854858398,0.6853631734848022,0.16823919117450714,0.6314492225646973,-3.131575454462869,0.010523860166237756,1.5807650809241482,203.47577092511014,161.84801762114537,179.6528384279476,137.45414847161572,155.14410480349346,161.47161572052403,149.5,167.5,126.5,143.5,100.5,167.5
